frame,fish_id,length_cm
0,1,5.653070068359375
0,2,6.6144952392578125
0,3,6.818960571289063
1,1,6.52818603515625
1,2,5.785997924804687
1,3,6.797380981445312
2,1,5.791434936523437
2,2,6.907127685546875
2,3,6.343203735351563
3,1,6.9606494140625
3,2,5.76673583984375
3,3,6.33594482421875
4,1,6.982759399414062
4,2,5.743853759765625
4,3,6.338985595703125
5,1,6.466858520507812
5,2,5.803016967773438
5,3,6.416181640625
6,1,5.775349731445313
6,2,6.366376953125
6,3,6.5430670166015625
7,1,5.755983276367187
7,2,6.366470947265625
7,3,6.48592529296875
8,1,6.814613647460938
8,2,5.576376953125
8,3,6.7678765869140625
9,1,5.796552734375
9,2,6.341234130859375
9,3,6.845602416992188
10,1,5.864464111328125
10,2,7.0249853515625
10,3,6.578221435546875
11,1,7.12105224609375
11,2,5.853642578125
11,3,6.559491577148438
12,1,7.091207275390625
12,2,5.785220947265625
12,3,6.523319702148438
13,1,7.070943603515625
13,2,5.662867431640625
13,3,6.5193853759765625
14,1,6.916096801757813
14,2,5.52200439453125
14,3,6.556856689453125
15,1,6.887265625
15,2,5.6416357421875
15,3,6.650238647460937
16,1,6.845106811523437
16,2,5.66415283203125
16,3,6.64593017578125
17,1,6.690150146484375
17,2,5.677841796875
17,3,6.321231689453125
18,1,6.5835418701171875
18,2,6.318558959960938
18,3,5.690763549804688
19,1,6.669926147460938
19,2,6.33765380859375
19,3,5.6958245849609375
20,1,6.487537231445312
20,2,6.294935913085937
20,3,5.6549951171875
21,1,6.706439208984375
21,2,6.428977661132812
21,3,5.504221801757812
22,1,6.738753662109375
22,2,6.462174682617188
22,3,5.313153686523438
23,1,6.831879272460937
23,2,6.336663818359375
23,3,5.147186889648437
24,1,6.844532470703125
24,2,6.323397216796875
24,3,5.17702880859375
25,1,6.88863037109375
25,2,6.4243536376953125
25,3,5.709259643554687
26,1,6.983470458984375
26,2,6.407909545898438
26,3,5.4271173095703125
27,1,6.978078002929688
27,2,6.40662353515625
27,3,5.442975463867188
28,1,6.91486572265625
28,2,6.472157592773438
28,3,5.26330810546875
29,1,6.95379150390625
29,2,6.51234375
29,3,5.617615356445312
30,1,6.999083862304688
30,2,6.372177734375
30,3,5.255814819335938
31,1,7.026697998046875
31,2,6.5228466796875
31,3,5.3498095703125
32,1,7.015098876953125
32,2,6.50025146484375
32,3,5.748011474609375
33,1,6.963582763671875
33,2,6.431962890625
33,3,5.859330444335938
34,1,6.878924560546875
34,2,6.379107055664062
34,3,5.870840454101563
35,1,6.6994140625
35,2,6.3702325439453125
35,3,5.517451782226562
36,1,6.639998168945312
36,2,6.402532348632812
36,3,5.426693115234375
37,1,6.637986450195313
37,2,6.387659301757813
37,3,5.364099731445313
38,1,6.764888305664062
38,2,6.42908203125
38,3,5.475656127929687
39,1,6.893041381835937
39,2,6.441339111328125
39,3,5.73416015625
40,1,6.9444952392578125
40,2,6.448184814453125
40,3,5.442911987304687
41,1,7.013081665039063
41,2,6.482704467773438
41,3,5.487063598632813
42,1,7.031549072265625
42,2,6.433175048828125
42,3,5.5611279296875
43,1,7.054224243164063
43,2,6.651695556640625
43,3,5.62553466796875
44,1,6.99748291015625
44,2,6.602486572265625
44,3,5.533580322265625
45,1,7.056364135742188
45,2,6.578572998046875
45,3,5.404564208984375
46,1,7.042855224609375
46,2,6.638165283203125
46,3,5.395986938476563
47,1,6.709571533203125
47,2,6.67134521484375
47,3,5.171500244140625
48,1,7.098887329101562
48,2,6.369553833007813
48,3,5.731769409179687
49,1,7.9371044921875
49,2,6.387264404296875
49,3,5.691435546875
50,1,6.812994384765625
50,2,6.410731201171875
50,3,5.63703125
51,1,6.755046997070313
51,2,6.368040771484375
51,3,5.633577880859375
52,1,6.699413452148438
52,2,6.2585107421875
52,3,5.52287109375
53,1,6.6712890625
53,2,6.463462524414062
53,3,5.501419677734375
54,1,6.692422485351562
54,2,6.473363647460937
54,3,5.487365112304688
55,1,6.706592407226562
55,2,6.452100219726563
55,3,5.531441040039063
56,1,6.683314208984375
56,2,6.163323974609375
56,3,5.5672979736328125
57,1,6.694690551757812
57,2,6.209366455078125
57,3,5.46267578125
58,1,6.692042846679687
58,2,6.2163018798828125
58,3,5.516902465820312
59,1,6.7264031982421875
59,2,6.503208618164063
59,3,5.558887329101562
60,1,6.6920928955078125
60,2,6.203760375976563
60,3,5.481588745117188
61,1,6.650792846679687
61,2,6.391581420898437
61,3,5.529052124023438
62,1,6.799214477539063
62,2,6.52567626953125
62,3,5.584915771484375
63,1,6.7165460205078125
63,2,6.448878784179687
63,3,5.533126220703125
64,1,6.733214111328125
64,2,6.472472534179688
64,3,5.5978125
65,1,6.617705078125
65,2,6.283422241210937
65,3,5.56380859375
66,1,6.77890869140625
66,2,6.186314086914063
66,3,5.630004272460938
67,1,6.917581787109375
67,2,6.029105224609375
67,3,5.649649047851563
68,1,6.7704248046875
68,2,6.057581787109375
68,3,5.32529052734375
69,1,6.199937744140625
69,2,6.482943725585938
69,3,5.263632202148438
70,1,6.476892700195313
70,2,6.186268310546875
70,3,5.314640502929688
71,1,6.602810668945312
71,2,6.20779052734375
71,3,5.209220581054687
72,1,6.7325341796875
72,2,6.322991943359375
72,3,5.231575927734375
73,1,6.750399169921875
73,2,6.30091552734375
73,3,5.620904541015625
74,1,6.699559936523437
74,2,6.285185546875
74,3,5.662053833007812
75,1,6.65875
75,2,6.1749462890625
75,3,5.42525390625
76,1,6.68989990234375
76,2,6.170443725585938
76,3,5.4320831298828125
77,1,6.69603515625
77,2,6.186275024414062
77,3,5.586754150390625
78,1,6.668076171875
78,2,6.234545288085937
78,3,5.649063720703125
79,1,6.759727783203125
79,2,6.349542846679688
79,3,5.540550537109375
80,1,6.981594848632812
80,2,6.428516845703125
80,3,5.560419921875
81,1,6.862366943359375
81,2,6.250714111328125
81,3,5.46146240234375
82,1,7.20567138671875
82,2,6.268611450195312
82,3,5.453436279296875
83,1,7.17007568359375
83,2,6.22892578125
83,3,5.099060974121094
84,1,6.755159912109375
84,2,6.24348388671875
84,3,5.2942919921875
85,1,7.31755126953125
85,2,6.279677734375
85,3,5.45193115234375
86,1,7.380406494140625
86,2,6.236192626953125
86,3,5.495601806640625
87,1,7.313795776367187
87,2,6.331548461914062
87,3,5.486022338867188
88,1,7.363280639648438
88,2,6.379765625
88,3,5.242091064453125
89,1,7.481355590820312
89,2,6.710110473632812
89,3,5.63698974609375
90,1,7.440364990234375
90,2,6.47488525390625
90,3,5.680546875
91,1,7.469868774414063
91,2,6.5565087890625
91,3,5.757646484375
92,1,7.449364013671875
92,2,6.5896240234375
92,3,5.758142700195313
93,1,7.507218017578125
93,2,6.45720458984375
93,3,5.69036865234375
94,1,7.469421997070312
94,2,6.246342163085938
94,3,5.673306884765625
95,1,7.505457763671875
95,2,6.267254638671875
95,3,5.599530639648438
96,1,7.525533447265625
96,2,6.18924560546875
96,3,5.224913330078125
97,1,7.527925415039062
97,2,6.23102294921875
97,3,5.474161376953125
98,1,7.44620361328125
98,2,6.231278686523438
98,3,5.567922973632813
99,1,7.365026245117187
99,2,6.18570556640625
99,3,5.4686328125
100,1,7.2771759033203125
100,2,6.143237915039062
100,3,5.4286279296875
101,1,7.255579833984375
101,2,6.129237670898437
101,3,5.549319458007813
102,1,7.22391845703125
102,2,6.190206909179688
102,3,5.577815551757812
103,1,7.24614990234375
103,2,6.240781860351563
103,3,5.561622924804688
104,1,7.313485717773437
104,2,6.212823486328125
104,3,5.528656005859375
105,1,7.316703491210937
105,2,6.31182373046875
105,3,5.448106689453125
106,1,7.555946044921875
106,2,6.286406860351563
106,3,5.573414306640625
107,1,7.69896728515625
107,2,6.23241455078125
107,3,5.610961303710938
108,1,7.728362426757813
108,2,6.172344360351563
108,3,5.570261840820312
109,1,7.69869384765625
109,2,6.163012084960937
109,3,5.32331298828125
110,1,7.790887451171875
110,2,6.1374951171875
110,3,5.27230224609375
111,1,7.820758666992187
111,2,6.134824829101563
111,3,5.307075805664063
112,1,7.985339965820312
112,2,6.2677069091796875
112,3,5.51280029296875
113,1,7.8300537109375
113,2,6.2643804931640625
113,3,5.58148681640625
114,1,7.64897216796875
114,2,6.340558471679688
114,3,5.432667236328125
115,1,7.540076904296875
115,2,6.372615966796875
115,3,5.283916625976563
116,1,7.639791259765625
