epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5612,1.4955,1.27895,0.5833,1.3476,1.50866,0.87049,0.8875,0.93348,0.5702,0.87127,0.88829,0.93852,0.82006,1.26199,0.73472,0.32615,1.13049,1.33935,0.000654088,0.000654088,0.000654088
2,18.4083,1.31119,0.54785,0.45975,0.93479,1.32096,0.39903,0.66875,0.51997,0.30705,0.39757,0.6625,0.51619,0.45753,1.20514,0.84905,0.17771,5.34419,1.44786,0.00131204,0.00131204,0.00131204
3,24.9166,1.30961,0.48339,0.37545,0.90462,1.30642,0.72112,0.61414,0.67394,0.40441,0.73393,0.67236,0.7336,0.5335,1.48918,1.36466,0.10298,4.00245,1.60776,0.00196119,0.00196119,0.00196119
4,31.4585,1.33233,0.43253,0.30353,0.95478,1.32901,0.84468,0.8625,0.92369,0.557,0.82736,0.84375,0.91074,0.81714,1.24939,0.64947,0.05386,1.9133,1.41218,0.0019604,0.0019604,0.0019604
5,37.9773,1.26313,0.354,0.25777,0.88322,1.30244,0.90716,0.67182,0.77332,0.47576,0.82662,0.83438,0.87546,0.71016,1.41994,0.87904,0.06547,1.69849,1.52366,0.0019472,0.0019472,0.0019472
6,44.4239,1.24079,0.34861,0.22717,0.84731,1.26235,0.98123,0.9875,0.99386,0.68735,0.96298,0.97554,0.97348,0.95243,1.15217,0.24966,0.02425,0.63208,1.29402,0.001934,0.001934,0.001934
7,50.851,1.19641,0.29303,0.19324,0.80903,1.23751,0.98152,0.99598,0.99488,0.71339,0.9692,0.98348,0.97516,0.97003,1.06494,0.2263,0.03954,1.14808,1.22432,0.0019208,0.0019208,0.0019208
8,57.3635,1.15708,0.2686,0.17992,0.76264,1.22994,0.96962,0.99375,0.99272,0.6288,0.95742,0.98125,0.98693,0.96534,1.23639,0.22566,0.03214,0.8481,1.34809,0.0019076,0.0019076,0.0019076
9,63.8072,1.13056,0.27524,0.18284,0.74633,1.20372,0.96945,0.99157,0.99381,0.65968,0.95724,0.97934,0.97705,0.93701,1.16128,0.31111,0.05055,0.61509,1.31628,0.0018944,0.0018944,0.0018944
10,70.3634,1.12506,0.24246,0.15373,0.74969,1.22958,0.98024,1,0.99419,0.74651,0.96792,0.9875,0.98444,0.97844,0.96084,0.19322,0.02458,0.51943,1.13703,0.0018812,0.0018812,0.0018812
