epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3789,1.46739,1.85338,0.6612,1.33968,1.47657,0.96154,0.93125,0.98074,0.67337,0.8945,0.86875,0.8667,0.53538,1.08643,1.60874,0.57441,0.89991,1.24854,0.000654088,0.000654088,0.000654088
2,40.6741,1.29323,0.77189,0.5853,0.92836,1.2952,0.89465,0.95533,0.97851,0.58863,0.86538,0.92408,0.92911,0.72238,1.41627,0.7489,0.27093,3.60379,1.55653,0.00131204,0.00131204,0.00131204
3,57.4151,1.27962,0.55287,0.50635,0.88651,1.26817,0.89425,0.95137,0.96686,0.62034,0.86466,0.91875,0.91973,0.78287,1.23207,0.56774,0.1222,1.8055,1.31843,0.00196119,0.00196119,0.00196119
4,74.5262,1.27135,0.44307,0.454,0.89922,1.27313,0.94617,0.96875,0.98266,0.65123,0.93397,0.95625,0.97242,0.91858,1.06593,0.32369,0.07542,1.03604,1.24426,0.0019604,0.0019604,0.0019604
5,90.5252,1.22643,0.41363,0.40744,0.84942,1.25707,0.9522,0.975,0.98668,0.65216,0.94,0.9625,0.97126,0.93002,1.24778,0.35438,0.12405,0.93778,1.39782,0.0019472,0.0019472,0.0019472
6,106.34,1.19815,0.35255,0.35299,0.80594,1.23995,0.9811,0.97333,0.99438,0.7127,0.98066,0.95052,0.98145,0.92776,1.03548,0.33602,0.07238,0.79152,1.20868,0.001934,0.001934,0.001934
7,123.442,1.19253,0.34845,0.30623,0.80393,1.22797,0.98884,1,0.99494,0.70459,0.9763,0.9875,0.98095,0.95365,1.13816,0.32633,0.11317,0.59219,1.24655,0.0019208,0.0019208,0.0019208
8,139.423,1.13758,0.29835,0.25237,0.75252,1.21277,0.9937,0.98579,0.99487,0.67373,0.9811,0.97329,0.97654,0.9609,1.13823,0.27033,0.10284,0.61433,1.25309,0.0019076,0.0019076,0.0019076
9,155.3,1.12315,0.30662,0.217,0.74736,1.18405,0.98798,0.99375,0.99494,0.69714,0.97555,0.98125,0.98862,0.97284,1.12025,0.20502,0.06487,0.5548,1.2418,0.0018944,0.0018944,0.0018944
10,171.169,1.09457,0.27888,0.18988,0.73196,1.19258,0.96173,1,0.99228,0.73354,0.94971,0.9875,0.97813,0.96305,0.95096,0.22556,0.03501,0.52391,1.12163,0.0018812,0.0018812,0.0018812
11,187.705,1.11051,0.25339,0.18061,0.71604,1.17451,0.99375,0.99389,0.995,0.70954,0.98125,0.98139,0.98556,0.97815,1.02514,0.19303,0.02066,0.54396,1.16085,0.001868,0.001868,0.001868
12,203.955,1.09304,0.22822,0.17545,0.71478,1.17296,0.99942,1,0.995,0.63166,0.98693,0.9875,0.98453,0.98091,1.33139,0.17798,0.02591,0.57206,1.36934,0.0018548,0.0018548,0.0018548
13,220.123,1.1201,0.23975,0.16399,0.73221,1.19048,0.99723,1,0.995,0.63702,0.98466,0.9875,0.97684,0.97153,1.26635,0.19426,0.03161,0.57383,1.28219,0.0018416,0.0018416,0.0018416
14,236.132,1.07977,0.24527,0.14177,0.69188,1.1547,0.98475,1,0.99194,0.70253,0.97244,0.9875,0.98552,0.97576,1.02034,0.18299,0.01823,0.6068,1.16471,0.0018284,0.0018284,0.0018284
15,252.842,1.07607,0.25457,0.15418,0.6858,1.16515,0.99811,1,0.995,0.7546,0.98564,0.9875,0.97955,0.97024,0.8912,0.18616,0.02194,0.46261,1.09284,0.0018152,0.0018152,0.0018152
16,269.241,1.05966,0.21129,0.14757,0.67406,1.15629,0.99859,1,0.995,0.67927,0.98611,0.9875,0.98331,0.98258,1.21914,0.16684,0.01291,0.5351,1.25653,0.001802,0.001802,0.001802
17,285.542,1.04685,0.19374,0.13703,0.66927,1.14307,0.99759,1,0.995,0.73927,0.98504,0.9875,0.98369,0.98349,1.01845,0.15563,0.06088,0.47449,1.16561,0.0017888,0.0017888,0.0017888
