                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6394,                 1.2999,                0.57262,                 1.8749,                 1.5002,                0.96756,                0.75266,                0.93634,                0.51023,                 0.9635,                0.74951,                0.94051,                0.80163,                 1.3985,                0.70882,                0.31861,                 1.8564,                 1.2797,             0.00065686,             0.00065686,             0.00065686
                      2,                 1.4109,                0.47472,                0.38967,                0.98654,                   1.31,                0.81776,                0.90594,                0.88707,                0.49631,                0.84225,                0.90954,                0.93258,                0.85722,                 1.3283,                0.46788,                0.04492,                 1.2238,                 1.4497,              0.0013148,              0.0013148,              0.0013148
                      3,                 1.3737,                0.44739,                0.29925,                  0.923,                 1.3188,                0.84508,                0.91202,                0.93415,                0.49519,                0.84992,                 0.9306,                0.94403,                0.86082,                 1.4764,                0.42305,                0.02204,                 1.2386,                 1.4721,              0.0019639,              0.0019639,              0.0019639
                      4,                  1.383,                0.37916,                0.24475,                 0.8891,                 1.3409,                0.81396,                0.73149,                 0.8378,                 0.4908,                0.78654,                0.73817,                0.83758,                0.78644,                   1.37,                0.46112,                0.02684,                 2.5131,                 1.5078,              0.0019604,              0.0019604,              0.0019604
                      5,                 1.3438,                0.34909,                0.19446,                 0.8436,                 1.3225,                0.92527,                0.93745,                0.96868,                0.60019,                0.92625,                0.94322,                0.97405,                0.90638,                 1.2653,                0.28018,                0.02125,                0.97638,                 1.3517,              0.0019472,              0.0019472,              0.0019472
                      6,                 1.3061,                 0.2886,                0.18443,                0.80455,                  1.312,                0.86772,                0.91167,                0.96154,                0.50847,                0.88688,                0.88959,                0.94622,                0.91929,                  1.498,                0.24689,                0.03739,                0.90744,                 1.4451,               0.001934,               0.001934,               0.001934
                      7,                 1.2857,                0.27189,                0.15508,                 0.7703,                 1.2918,                0.96781,                 0.9483,                0.98519,                0.63462,                 0.9719,                0.94953,                0.98712,                0.96295,                 1.2248,                0.21119,                0.04948,                0.69261,                 1.3347,              0.0019208,              0.0019208,              0.0019208
                      8,                 1.2574,                0.24386,                 0.1438,                 0.7443,                 1.2914,                0.92831,                0.96215,                0.97578,                0.61367,                0.93246,                0.95813,                0.97612,                0.96414,                 1.2146,                0.15954,                0.03035,                0.68939,                 1.2764,              0.0019076,              0.0019076,              0.0019076
                      9,                 1.2527,                0.22677,                0.14716,                0.74524,                 1.2854,                0.97793,                0.97866,                0.98948,                0.61901,                0.97793,                0.97866,                0.99229,                0.98573,                 1.2023,                0.12544,                0.01159,                0.64479,                 1.3441,              0.0018944,              0.0018944,              0.0018944
                     10,                 1.2221,                0.23425,                0.13401,                0.71068,                 1.2671,                0.90483,                0.92978,                0.97025,                0.58183,                0.91164,                0.92744,                0.95811,                0.93787,                 1.2859,                0.40547,                 0.0206,                0.73239,                 1.3429,              0.0018812,              0.0018812,              0.0018812
                     11,                 1.2167,                0.24263,                0.13557,                0.69782,                 1.2736,                0.96891,                0.98298,                0.98676,                0.67563,                0.97789,                0.97652,                0.99032,                0.98328,                 1.1198,                0.13059,                0.02021,                0.56595,                 1.2916,               0.001868,               0.001868,               0.001868
